Event Time,Event Type,Smart ID,Exact ID,Agent Type,Account Email,Input IP,True IP,Unknown Session,Reasons,Input IP Organization Type,Input IP Organization,Request Result,Policy Score,Review Status,Account Email Domain,Online Top Level Domain,LexID Digital,LexID Digital Trust Score Rating,True IP Geo,Session ID,Account First Name,Account Last Name,Agent Model,Associated Event.DateTime,Associated Event.Request Id,Agent OS
2021-09-02 19:38:42.724 UTC,account_creation,ad6f5198bbd54cec9c77a1d6acb78243,31be8c9d040f47078fcb461cca818835,browser_computer,f7c8aace8b8d2586a9bdeb46e5e3aef8,,70.67.105.5,,"{""New Device less than 1 Month (-2)"",""New Email less than 1 Week (-3)"",""IF not True IP""}",,,success,-5,pass,gmail.com,,bb41d5c9fd4c4b79904f9aa895c42078,very_low,CA,rwsdlxolbmwqullvjpwbqwoy_1,cac4edcb8ac4d544b48de6c5185c1550,1cb9a7a9a39ac4f6744fd216a759d8b0,,,,
2021-09-02 17:57:47.259 UTC,account_creation,,,,92abf70af63a23cbf5d4bd59827d2f01,,,true,"{""Profiling Blocked (-10)"",""Profiling Incomplete"",""2 or more account_login per Email/ month"",""IF not True IP""}",,,success,-15,pass,shaw.ca,,d48e72573ac54582bee095d5644f6b31,very_high,,wocikrqfvsimrshi0gkg4zax_1,d245ca207a41cc916c70ca61031f4cdd,7303af9c2b3fb1925d9b6795cf69074a,,,,
2021-09-02 15:20:07.107 UTC,account_creation,27ceb227bda34c8ebcc40ae42377e9c5,27ceb227bda34c8ebcc40ae42377e9c5,browser_mobile,639b5651a18d48951cc4bec7a7e484ee,,108.172.160.182,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,68973f6a421b41a49168b8678f3d9b6c,neutral,CA,h544nmqpxmq3tqp3yp4s42at_1,0d49f21e9ff765b033f7ddd70b518aa9,0febe26518d7d54e874ed0e8df84d924,,,,
2021-09-02 00:40:12.552 UTC,account_creation,57d10cb96d354d11a6822b5cec320e86,a4622b95ab5c479ea779b1155f33c730,browser_computer,e93139d1bfbda61fc136762110e09abf,,207.81.159.31,,"{""New IP less than 1 Month (-2)"",""New Device less than 1 Month (-2)"",""IF not True IP""}",,,success,-4,pass,gmail.com,,0e26130b7c8f48e18a65e03ccc955ce6,very_high,CA,la1b3hn4xydkah5njqp3axuo_1,e95699dbf6ea346fcf77a9de7970478d,36bb84776c9e7be4ea1f8a7881aaca82,,,,
2021-09-02 00:34:25.744 UTC,account_creation,5cd4424063ba49408569801640b83f7b,5cd4424063ba49408569801640b83f7b,browser_computer,44ddf2e6189f33ca38d4dcb012d33d67,,24.84.244.170,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,outlook.com,,bd09d9c2e44345d2b81b32a349d9428d,very_high,CA,jumbqboqsddz3mg22pfhcchx_1,35d4e5a26a72066b218974c2cadd6d3c,c7d00b720a8a36bea305929ae681001e,,,,
2021-09-01 23:20:24.396 UTC,account_creation,0ef256e0f471426192057ca628f2cc12,988e8cf96024457cb94f512d6902bffb,browser_mobile,eec7ea37f43d52362e0c2177dc85ab86,,96.55.116.104,,"{""IF not True IP""}",,,success,0,pass,hotmail.com,,70d5487819a44a3b949681a8d22008bd,very_high,CA,dx5clulhsknv5a4niedi3qv0_1,25a506e27d3cfa23f6ba9d70a49ab6e3,ddcd07609b15e4b2e5d3146105ca39a1,,,,
2021-09-01 21:28:44.296 UTC,account_creation,056e3b1c2f294c3cb344617e8a8ca414,056e3b1c2f294c3cb344617e8a8ca414,browser_computer,200b582542f64ffae6f8eb7a02b68923,,70.67.14.34,,"{""IF not True IP""}",,,success,0,pass,hotmail.com,,5d35454f2a7340cbbc3c55daf3371998,very_high,CA,ma3y2wmysccwfky3br3mc0m0_1,d5f12b163719b8b8bcd5bf167bc5d8f2,d6a7823c68078a38d3915a328eb15c57,,,,
2021-09-01 20:17:24.099 UTC,account_creation,1114c7810c7e416c918e6ba3e849c4a5,1114c7810c7e416c918e6ba3e849c4a5,browser_mobile,c4bd6f142c04c18a7f8eb27ed7855737,,172.218.69.58,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,9edd581b05b848e5a48a6e489f145504,very_high,CA,m5d3norzlfy1pjq14fstssha_1,35d4e5a26a72066b218974c2cadd6d3c,a31cb706fc3fa6b91147ff50f9bc8e3b,,,,
2021-09-01 19:06:57.272 UTC,account_creation,cc05208fc48240f7a51dc66a23070b33,cc05208fc48240f7a51dc66a23070b33,browser_mobile,cde3dfea2efd057c9ed320f6da640e4f,,209.52.88.38,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,d43ff5a9e6a645af85736324d8a9af40,low,CA,psa4ausblchnxxuy4l25g2yd_1,e3774c5c349c792b5d717f4387406f70,f0ed9ee696af52e301d0ac050576c2b0,,,,
2021-09-01 18:41:38.412 UTC,account_creation,63199ef39bba4e26bf4cb9764985f6e7,63199ef39bba4e26bf4cb9764985f6e7,browser_computer,43910c8914568bd150ab39b06cb75d7b,,207.6.236.61,,"{""Screen Resolution Anomaly (-5)"",""IF not True IP""}",,,success,-5,pass,sureshot.ca,,09934f695ebe4d2faa24e39ec03ae4fd,very_high,CA,fd3z3sugpywhtmpvmo32ebcc_1,34d91f0d3c65e2979e2291210147883e,60331c786ca11b1b2f2bf1e4b7ebd280,,,,
